CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,ContractType,PaymentMethod,InternetService,TechSupport,StreamingServices,ComplaintsCount,TotalCharges,Churn
CUST_1,Male,0,38,42.24,One year,Mailed check,Fiber optic,0,0,1,1605.12,0
CUST_2,Female,0,66,77.71,Month-to-month,Credit card,Fiber optic,0,1,0,5128.86,0
CUST_3,Male,0,4,46.5,Month-to-month,Credit card,Fiber optic,0,1,0,186.0,1
CUST_4,Male,0,64,86.13,Month-to-month,Credit card,None,0,0,3,5512.32,1
CUST_5,Male,0,14,80.81,Month-to-month,Bank transfer,DSL,1,1,3,1131.34,1
CUST_6,Female,0,66,30.81,One year,Electronic check,Fiber optic,1,0,3,2033.46,0
CUST_7,Male,0,39,85.6,Month-to-month,Mailed check,DSL,0,1,1,3338.4,0
CUST_8,Male,0,68,112.4,Month-to-month,Bank transfer,Fiber optic,1,0,1,7643.2,0
CUST_9,Male,0,42,36.11,Month-to-month,Credit card,None,0,1,1,1516.62,0
CUST_10,Female,0,0,79.71,Month-to-month,Bank transfer,Fiber optic,0,1,2,0.0,1
CUST_11,Male,0,21,54.19,Two year,Credit card,DSL,1,1,0,1137.99,0
CUST_12,Male,0,61,65.96,One year,Credit card,Fiber optic,0,1,3,4023.56,0
CUST_13,Male,0,25,48.7,Month-to-month,Credit card,Fiber optic,1,0,1,1217.5,0
CUST_14,Male,0,17,55.41,Month-to-month,Credit card,Fiber optic,0,0,1,941.97,0
CUST_15,Female,0,47,22.89,One year,Bank transfer,DSL,0,0,1,1075.83,0
CUST_16,Male,0,8,118.16,One year,Credit card,Fiber optic,0,0,1,945.28,0
CUST_17,Female,1,0,82.48,Month-to-month,Bank transfer,None,0,0,2,0.0,1
CUST_18,Female,1,8,70.07,Two year,Bank transfer,Fiber optic,0,0,0,560.56,0
CUST_19,Female,0,22,58.37,Two year,Electronic check,Fiber optic,0,1,0,1284.14,0
CUST_20,Male,0,44,73.94,Two year,Bank transfer,Fiber optic,0,1,5,3253.36,0
CUST_21,Female,0,1,58.01,One year,Electronic check,DSL,1,0,1,58.01,0
CUST_22,Male,0,13,55.99,Two year,Electronic check,Fiber optic,1,1,3,727.87,0
CUST_23,Female,0,37,66.39,Month-to-month,Electronic check,Fiber optic,0,0,2,2456.43,0
CUST_24,Female,0,39,47.6,Two year,Bank transfer,DSL,0,0,0,1856.4,0
CUST_25,Female,0,62,38.0,Two year,Electronic check,DSL,0,1,1,2356.0,0
CUST_26,Female,0,15,75.66,Two year,Mailed check,Fiber optic,1,0,1,1134.9,0
CUST_27,Female,0,5,104.28,One year,Credit card,DSL,0,0,0,521.4,0
CUST_28,Female,0,2,35.28,Month-to-month,Bank transfer,DSL,0,0,0,70.56,1
